"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.622873750E-1	1.059075928E1	-4.202576447E1	-2.232183838E1	4.875031825E1
1.723273749E-1	1.039654541E1	-4.198048019E1	-2.232626343E1	4.867145891E1
1.823683750E-1	1.039654541E1	-4.198048019E1	-2.232626343E1	4.867145891E1
1.924083750E-1	1.031260681E1	-4.215080261E1	-2.252011108E1	4.888962490E1
2.024483749E-1	1.031260681E1	-4.215080261E1	-2.252011108E1	4.888962490E1
2.124583750E-1	1.005841064E1	-4.220428085E1	-2.248654175E1	4.886734602E1
2.224983750E-1	1.005841064E1	-4.220428085E1	-2.248654175E1	4.886734602E1
2.325383750E-1	9.936660767E0	-4.195892715E1	-2.265109253E1	4.870688645E1
2.425793749E-1	9.936660767E0	-4.195892715E1	-2.265109253E1	4.870688645E1
2.526193750E-1	1.000923157E1	-4.183346558E1	-2.262796021E1	4.860296433E1
2.626293750E-1	1.000923157E1	-4.183346558E1	-2.262796021E1	4.860296433E1
2.726693749E-1	1.006524658E1	-4.178452301E1	-2.273361206E1	4.862173042E1
2.827093750E-1	1.006524658E1	-4.178452301E1	-2.273361206E1	4.862173042E1
2.927503750E-1	9.927825928E0	-4.194001389E1	-2.281112671E1	4.876344937E1
3.027903750E-1	9.927825928E0	-4.194001389E1	-2.281112671E1	4.876344937E1
3.128303749E-1	1.000666809E1	-4.205186462E1	-2.246231079E1	4.871394185E1
3.228403750E-1	1.000666809E1	-4.205186462E1	-2.246231079E1	4.871394185E1
3.328803750E-1	1.000666809E1	-4.205186462E1	-2.246231079E1	4.871394185E1
3.429213749E-1	1.014503479E1	-4.200617599E1	-2.261523438E1	4.877385958E1
3.529613750E-1	1.014503479E1	-4.200617599E1	-2.261523438E1	4.877385958E1
3.630013750E-1	1.002450562E1	-4.222574997E1	-2.253085327E1	4.889932538E1
3.730113750E-1	1.002450562E1	-4.222574997E1	-2.253085327E1	4.889932538E1
3.830513749E-1	9.728820801E0	-4.214146042E1	-2.262588501E1	4.881068851E1
3.930913750E-1	9.728820801E0	-4.214146042E1	-2.262588501E1	4.881068851E1
4.031323750E-1	9.820129395E0	-4.218802261E1	-2.251477051E1	4.881781524E1
4.131723749E-1	9.820129395E0	-4.218802261E1	-2.251477051E1	4.881781524E1
4.232123750E-1	9.898651123E0	-4.208946991E1	-2.242007446E1	4.870489206E1
4.332223750E-1	9.898651123E0	-4.208946991E1	-2.242007446E1	4.870489206E1
4.432623750E-1	1.014036560E1	-4.215413284E1	-2.261254883E1	4.889913389E1
4.533033749E-1	1.014036560E1	-4.215413284E1	-2.261254883E1	4.889913389E1
4.633433750E-1	1.018869019E1	-4.197317505E1	-2.265966797E1	4.877517180E1
4.733833750E-1	1.018869019E1	-4.197317505E1	-2.265966797E1	4.877517180E1
4.833933749E-1	1.033679199E1	-4.227019501E1	-2.262332153E1	4.904521722E1
4.934333750E-1	1.033679199E1	-4.227019501E1	-2.262332153E1	4.904521722E1
5.034733750E-1	9.999206543E0	-4.232029343E1	-2.265985107E1	4.903529563E1
5.135143750E-1	9.999206543E0	-4.232029343E1	-2.265985107E1	4.903529563E1
5.235543749E-1	9.878112793E0	-4.217306137E1	-2.256945801E1	4.884183302E1
5.335643750E-1	9.878112793E0	-4.217306137E1	-2.256945801E1	4.884183302E1
