"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.748279773672307E9	"2025-05-26 20:16:13.672 UTC+03:00"
"PAUSE"	3.005470466667321E2	1.748280074210534E9	"2025-05-26 20:21:14.211 UTC+03:00"
