"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.305953751E-1	-3.282206599E-3	-1.134749955E-2	-1.940994930E-1	1.944586121E-1
7.406053750E-1	-2.013890706E-3	-7.643781798E-3	-1.875149435E-1	1.876814780E-1
7.506453750E-1	2.687572176E-3	1.719720941E-4	-1.710497689E-1	1.710709679E-1
7.606863750E-1	2.840303276E-3	-2.667901777E-3	-1.789838558E-1	1.790262709E-1
7.707263750E-1	-1.674807016E-3	-1.789677395E-3	-1.873658395E-1	1.873818714E-1
7.807663750E-1	-2.449983358E-3	1.431215666E-3	-1.857204330E-1	1.857421062E-1
7.907763750E-1	-2.324039815E-3	4.254297065E-3	-1.930563498E-1	1.931172038E-1
8.008163751E-1	1.210919076E-2	-4.963144055E-3	-1.956022274E-1	1.960395284E-1
8.108573750E-1	1.364274183E-3	-8.495081579E-3	-1.873716867E-1	1.875691249E-1
8.208973750E-1	-1.087219401E-2	1.275423914E-4	-1.728530502E-1	1.731946819E-1
8.309373750E-1	-8.290995480E-3	3.258415740E-3	-1.797358078E-1	1.799564349E-1
8.409473751E-1	-1.066599743E-2	4.109057710E-3	-1.884177536E-1	1.887641325E-1
8.509873750E-1	4.410600448E-3	-2.043117648E-3	-1.991947567E-1	1.992540560E-1
8.610273750E-1	-7.075313665E-3	-9.033920774E-3	-1.938042086E-1	1.941436146E-1
8.710683751E-1	1.409087609E-3	-3.059025686E-3	-1.743429208E-1	1.743754489E-1
8.811083750E-1	4.719452206E-3	-3.059482500E-3	-1.683542025E-1	1.684481260E-1
8.911183750E-1	4.740895042E-3	8.949428508E-3	-1.869167733E-1	1.871909413E-1
9.011583750E-1	5.609224839E-3	-3.867074344E-3	-1.870676315E-1	1.871916569E-1
9.111983750E-1	-2.105774218E-3	-7.587876935E-3	-1.858695370E-1	1.860362732E-1
9.212393750E-1	8.141699620E-4	-2.976707853E-3	-1.824272811E-1	1.824533819E-1
9.312793750E-1	-6.223392617E-3	-6.225740639E-3	-1.779366195E-1	1.781542338E-1
9.412893750E-1	-1.098817902E-2	-1.044667203E-2	-1.689582199E-1	1.696371218E-1
9.513293750E-1	1.179776257E-3	7.517235260E-4	-1.918617636E-1	1.918668635E-1
9.613693750E-1	-2.838814063E-3	-2.867967915E-3	-1.929084152E-1	1.929506174E-1
9.713781667E-1	-3.209363082E-3	4.633123549E-3	-1.773378646E-1	1.774274051E-1
9.813871667E-1	1.792445686E-4	-2.692779852E-3	-1.813777059E-1	1.813977822E-1
9.914281666E-1	8.052767124E-3	-4.707419733E-3	-1.816788375E-1	1.819181323E-1
1.001468167E0	7.789678965E-3	-5.046055745E-3	-1.861706686E-1	1.864018767E-1
1.011508167E0	5.938167265E-3	5.744405156E-3	-1.759953439E-1	1.761891628E-1
1.021548167E0	4.913232587E-3	6.156195318E-3	-1.715081906E-1	1.716889573E-1
1.031558167E0	3.118521105E-3	5.387944272E-3	-1.792920041E-1	1.794000498E-1
1.041598167E0	-4.747299571E-4	1.292545293E-3	-1.676156992E-1	1.676213550E-1
1.051639167E0	-8.558121873E-3	6.776164630E-3	-1.744996262E-1	1.748407200E-1
1.061679167E0	-9.567223387E-3	-1.928338632E-3	-1.755462778E-1	1.758173652E-1
1.071719167E0	-5.932566728E-3	-8.851679508E-3	-1.810824215E-1	1.813956752E-1
1.081729167E0	-5.226716436E-3	3.494807705E-3	-1.863197726E-1	1.864258295E-1
1.091769167E0	-9.033226417E-3	9.601475280E-3	-1.831739706E-1	1.836477362E-1
1.101810167E0	-3.818451092E-3	3.482026057E-3	-1.813753670E-1	1.814489704E-1
1.111850167E0	-7.299545249E-3	1.803445760E-3	-1.834686702E-1	1.836226804E-1
1.121890167E0	-4.460310917E-3	-1.018415032E-2	-1.749375826E-1	1.752905277E-1
1.131900167E0	-1.341269044E-3	-5.229183231E-3	-1.661071175E-1	1.661948190E-1
1.141940167E0	-3.023211490E-3	-1.193590304E-3	-1.840715182E-1	1.841002126E-1
1.151981167E0	5.807381496E-4	-1.084402688E-3	-1.843720651E-1	1.843761686E-1
1.162021167E0	3.746036980E-3	6.088486388E-3	-1.855684054E-1	1.857060460E-1
1.172061167E0	5.672767628E-3	7.652643984E-3	-1.857169247E-1	1.859610695E-1
1.182071167E0	4.709055126E-3	-1.403852524E-3	-1.731442416E-1	1.732139555E-1
1.192111167E0	2.850115635E-3	-3.990615048E-3	-1.738926852E-1	1.739618180E-1
1.202151167E0	-2.942675231E-3	-6.002578000E-3	-1.848223007E-1	1.849431618E-1
1.212192167E0	-5.386984963E-3	-3.016377557E-3	-1.746458066E-1	1.747549023E-1
1.222232167E0	-1.004619258E-2	-9.563313061E-3	-1.646166623E-1	1.651999650E-1
1.232242167E0	-4.122104309E-4	-3.602889832E-4	-1.735968161E-1	1.735976793E-1
1.242282167E0	-1.770591717E-3	-2.452998329E-3	-1.747919869E-1	1.748181652E-1
1.252322167E0	-6.673317589E-3	-1.032261970E-2	-1.791312057E-1	1.795524394E-1
1.262363167E0	-2.405736381E-3	-6.054654764E-3	-1.815268099E-1	1.816436873E-1
1.272372167E0	-3.042479893E-3	5.176064931E-4	-1.773349410E-1	1.773617938E-1
1.282413167E0	5.922133103E-5	-6.771422904E-3	-1.725449020E-1	1.726777313E-1
1.292453167E0	3.286098652E-3	-5.190628152E-3	-1.743411666E-1	1.744493721E-1
1.302493167E0	-5.351079404E-3	-3.156893458E-3	-1.782354122E-1	1.783436632E-1
1.312534167E0	-1.388711890E-2	1.375228576E-3	-1.804824972E-1	1.810212008E-1
1.322543167E0	-6.021581450E-3	3.918904429E-3	-1.771893454E-1	1.773349412E-1
1.332584167E0	-1.224340263E-2	5.174913760E-3	-1.682103610E-1	1.687347214E-1
1.342624167E0	-4.760601986E-3	6.571941487E-3	-1.795872885E-1	1.797705425E-1
1.352664167E0	-1.151796416E-2	-9.022865882E-3	-1.800375241E-1	1.806310762E-1
1.362704167E0	-7.439796198E-3	-3.807633743E-3	-1.686611813E-1	1.688681223E-1
1.372714167E0	-2.579014963E-3	-3.300643601E-3	-1.677618796E-1	1.678141645E-1
1.382754167E0	6.646858938E-3	-1.114076394E-2	-1.759953439E-1	1.764728263E-1
1.392795167E0	4.863083577E-3	-8.314612750E-3	-1.743499374E-1	1.746158156E-1
1.402835167E0	6.524231862E-3	-5.476840222E-3	-1.707574081E-1	1.709697453E-1
1.412875167E0	6.753488397E-3	-8.043164900E-3	-1.852783835E-1	1.855758106E-1
1.422885167E0	4.507298777E-3	-2.189014815E-3	-1.757000595E-1	1.757714950E-1
1.432925167E0	1.863242676E-3	-5.352577753E-3	-1.716596335E-1	1.717531704E-1
1.442966167E0	-1.217657078E-2	-4.682888836E-4	-1.688155478E-1	1.692547706E-1
1.453006167E0	-1.932988082E-2	7.351430152E-3	-1.706112278E-1	1.718600560E-1
1.463046167E0	-1.533837955E-2	3.553809766E-3	-1.670175290E-1	1.677580116E-1
1.473056167E0	-1.590273636E-2	1.139204803E-2	-1.682150388E-1	1.693486789E-1
1.483096167E0	-1.468276964E-2	-4.465125734E-3	-1.758468246E-1	1.765152311E-1
1.493137167E0	-7.121305671E-3	-7.911017826E-3	-1.867735165E-1	1.870765717E-1
1.503177167E0	-1.043669522E-2	2.155137509E-3	-1.785400522E-1	1.788578191E-1
1.513217167E0	-3.667145250E-3	-1.491012583E-3	-1.680612570E-1	1.681078736E-1
1.523227167E0	3.652088670E-3	-9.863065090E-4	-1.680618417E-1	1.681044116E-1
1.533267167E0	-2.439485779E-3	3.096904680E-3	-1.725519186E-1	1.725969482E-1
1.543307167E0	4.797311537E-3	6.648128880E-3	-1.644693124E-1	1.646735150E-1
1.553348167E0	1.345955953E-4	4.183289940E-3	-1.724004757E-1	1.724512745E-1
1.563357167E0	-2.944438532E-3	6.656232756E-4	-1.729992306E-1	1.730255662E-1
1.573398167E0	-1.282358347E-3	5.270771552E-3	-1.725501645E-1	1.726354098E-1
1.583438167E0	-3.933376288E-3	4.680504268E-3	-1.697049093E-1	1.698150017E-1
1.593478167E0	-2.500022734E-3	-2.328836359E-3	-1.737476742E-1	1.737812645E-1
1.603519167E0	1.033824272E-3	3.554385351E-3	-1.726980990E-1	1.727377661E-1
1.613528167E0	-8.326946720E-3	-5.194236981E-3	-1.698545980E-1	1.701378929E-1
1.623569167E0	-6.889061574E-3	-1.161293574E-2	-1.828769320E-1	1.833747303E-1
1.633609167E0	-8.037317684E-3	-1.138948074E-2	-1.571287179E-1	1.577458486E-1
1.643649167E0	-3.242646530E-3	-1.040091757E-3	-1.614691061E-1	1.615050116E-1
1.653690167E0	-9.666817915E-4	-4.761369433E-4	-1.732927608E-1	1.732961112E-1
1.663699167E0	-1.335275648E-3	1.092250748E-3	-1.722426009E-1	1.722512396E-1
1.673740167E0	-5.019140281E-3	-1.583544770E-3	-1.735903841E-1	1.736701495E-1
1.683780167E0	-5.699025281E-3	-3.485068437E-3	-1.726916671E-1	1.728208219E-1
1.693820167E0	-6.858436782E-3	4.720484605E-3	-1.689494491E-1	1.691544781E-1
1.703860167E0	-1.478112163E-3	-6.594809582E-3	-1.578730685E-1	1.580176638E-1
1.713870167E0	-6.295998590E-3	-6.421594955E-3	-1.589220589E-1	1.591763088E-1
1.723910167E0	-2.511168988E-3	2.007851629E-3	-1.542811239E-1	1.543146222E-1
1.733951167E0	3.628242994E-3	-2.964876378E-3	-1.578730685E-1	1.579425857E-1
1.743991167E0	2.162300348E-3	-2.348981844E-3	-1.707468832E-1	1.707767296E-1
1.754031167E0	-1.019334141E-4	-1.283540580E-2	-1.704475057E-1	1.709301326E-1
1.764041167E0	-2.866387339E-3	-5.737233181E-3	-1.691014767E-1	1.692230523E-1
1.774081167E0	-4.713321766E-3	-4.351634933E-3	-1.716461849E-1	1.717660180E-1
1.784122167E0	-3.526949119E-3	-7.689417489E-3	-1.598201913E-1	1.600439316E-1
1.794162167E0	-2.538239770E-4	4.280216675E-3	-1.643120223E-1	1.643679572E-1
1.804172167E0	-9.755156552E-3	-5.760576362E-3	-1.659591830E-1	1.663454169E-1
1.814212167E0	-9.177963277E-3	-4.661016595E-3	-1.637144369E-1	1.640377302E-1
1.824252167E0	-1.743447846E-2	-6.310287723E-3	-1.619181722E-1	1.629763028E-1
1.834293167E0	-7.989333970E-3	-1.465769056E-2	-1.676063436E-1	1.684356369E-1
1.844333167E0	-8.307669181E-3	-1.165841611E-2	-1.746417135E-1	1.752274640E-1
1.854343167E0	-1.416803193E-2	3.327184478E-3	-1.803287154E-1	1.809150323E-1
1.864383167E0	-8.552210703E-3	8.192524714E-3	-1.544325668E-1	1.548860079E-1
1.874423167E0	-1.220524041E-3	9.298205785E-3	-1.625151730E-1	1.627855268E-1
1.884463167E0	-5.802557543E-3	7.948211599E-3	-1.673069662E-1	1.675961356E-1
1.894504167E0	-1.111345561E-2	-1.982096471E-3	-1.640138143E-1	1.644018519E-1
1.904514167E0	-8.753601601E-3	-3.075169483E-3	-1.726975143E-1	1.729465630E-1
1.914554167E0	1.805720693E-3	-6.686090101E-3	-1.764403170E-1	1.765761872E-1
1.924594167E0	7.121470124E-3	-8.952507433E-3	-1.631186056E-1	1.635192411E-1
1.934634167E0	5.456968825E-3	-2.942739185E-3	-1.706042111E-1	1.707168271E-1
1.944675167E0	-1.419923231E-3	-4.845404886E-3	-1.652160019E-1	1.652931378E-1
1.954684167E0	-4.123273753E-3	1.061845226E-3	-1.583297360E-1	1.583869761E-1
1.964697750E0	-7.244508332E-3	-9.196491642E-3	-1.649142855E-1	1.653293075E-1
1.974737750E0	-3.657506481E-3	-1.254330084E-2	-1.688056076E-1	1.693104985E-1
1.984777750E0	-6.738075502E-3	-8.031306015E-3	-1.749434298E-1	1.752572600E-1
1.994818750E0	-7.713820478E-3	-9.631433124E-3	-1.601254159E-1	1.606001754E-1
2.004827750E0	-1.193374688E-2	-1.426738892E-3	-1.634191525E-1	1.638605178E-1
2.014868750E0	-1.079554067E-2	-1.161273474E-2	-1.782389206E-1	1.789427621E-1
2.024908750E0	-1.547103826E-2	4.734326061E-3	-1.756942123E-1	1.764375898E-1
2.034948750E0	-1.070534737E-2	2.577023255E-3	-1.746452218E-1	1.749919970E-1
2.044988750E0	-5.891581401E-3	-3.445873819E-3	-1.646160775E-1	1.647575120E-1
2.054998750E0	-5.463154083E-3	-1.120399609E-3	-1.655147946E-1	1.656087213E-1
2.065038750E0	-3.097745217E-3	-1.205692213E-2	-1.575795382E-1	1.580704788E-1
2.075079750E0	-1.440315396E-3	8.758763596E-4	-1.647640121E-1	1.647726353E-1
2.085119750E0	4.859584384E-5	1.378184161E-2	-1.593758029E-1	1.599705850E-1
2.095129750E0	1.689781370E-3	6.317898240E-3	-1.611738217E-1	1.613064537E-1
2.105169750E0	-5.892074760E-4	2.075030655E-4	-1.698569369E-1	1.698580856E-1
2.115209750E0	5.451121610E-3	-6.762697762E-3	-1.617731613E-1	1.620061867E-1
2.125250750E0	3.671969203E-3	-5.836069398E-3	-1.524930453E-1	1.526488517E-1
2.135290750E0	-1.162508698E-3	-1.313528574E-2	-1.556394321E-1	1.561970549E-1
2.145300750E0	4.744193237E-4	-4.731475543E-3	-1.756988901E-1	1.757632269E-1
2.155340750E0	-2.860220354E-3	-5.748315481E-3	-1.710585397E-1	1.711789941E-1
2.165380750E0	-1.181059903E-2	-8.156600883E-3	-1.674648410E-1	1.680788308E-1
2.175421750E0	-1.521587125E-2	-7.768272674E-3	-1.508493930E-1	1.518137285E-1
2.185461750E0	-8.005687902E-3	9.231775934E-3	-1.557873666E-1	1.562658642E-1
2.195471750E0	-9.917562967E-3	6.727166791E-3	-1.728524655E-1	1.732673878E-1
2.205511750E0	-1.522732814E-2	1.178953992E-3	-1.731524277E-1	1.738246952E-1
2.215551750E0	-2.600192847E-3	1.051713098E-3	-1.569866306E-1	1.570116852E-1
2.225591750E0	-4.305323157E-3	1.717985049E-4	-1.625256979E-1	1.625828030E-1
2.235632750E0	3.760344386E-3	-3.642267175E-3	-1.598324704E-1	1.599181819E-1
2.245642750E0	-2.490840778E-3	1.537086815E-3	-1.587858188E-1	1.588127929E-1
2.255682750E0	7.618519999E-3	8.264637329E-3	-1.665696323E-1	1.669484605E-1
2.265722750E0	-9.091689438E-4	6.286652181E-3	-1.599833286E-1	1.601093814E-1
2.275762750E0	1.460186793E-3	-1.206216635E-3	-1.616310740E-1	1.616421702E-1
2.285803750E0	5.311829969E-5	-2.431272268E-3	-1.605838376E-1	1.606022503E-1
2.295812750E0	-9.364407230E-4	-6.896973588E-5	-1.565428269E-1	1.565456430E-1
2.305853750E0	-2.827220131E-3	-7.099205023E-3	-1.528011936E-1	1.529921457E-1
2.315893750E0	-6.755772466E-3	-2.452760786E-3	-1.665725559E-1	1.667275408E-1
2.325933750E0	-2.007865333E-2	-6.762843942E-3	-1.653750461E-1	1.667267053E-1
2.335974750E0	-2.611668007E-3	-5.535202743E-3	-1.733085483E-1	1.734165857E-1
2.345983750E0	-9.913862776E-4	3.688313998E-3	-1.694172263E-1	1.694602699E-1
2.356024750E0	-4.024346173E-4	1.813111939E-3	-1.584887803E-1	1.584996618E-1
2.366064750E0	-4.481260395E-3	-3.043512292E-3	-1.590881199E-1	1.591803208E-1
2.376104750E0	-5.404837243E-3	-3.208641317E-3	-1.569924778E-1	1.571182539E-1
2.386114750E0	-2.937805597E-3	-1.190301245E-3	-1.661234897E-1	1.661537281E-1
2.396154750E0	5.680752732E-4	-8.188961567E-3	-1.644774985E-1	1.646822071E-1
2.406194750E0	-7.118455153E-3	-5.405001696E-3	-1.713637644E-1	1.715966964E-1
2.416235750E0	-6.937693963E-3	3.508429890E-3	-1.664252061E-1	1.666066922E-1
2.426275750E0	-7.781401500E-3	-5.147349620E-3	-1.493612766E-1	1.496523851E-1
2.436285750E0	-3.277474009E-3	1.564769726E-4	-1.517557114E-1	1.517911798E-1
2.446325750E0	-4.788412806E-4	-6.643560743E-3	-1.635811204E-1	1.637166733E-1
2.456365750E0	-1.108082084E-2	-9.798562992E-4	-1.610375816E-1	1.614213350E-1
2.466406750E0	-1.601086417E-3	3.185919402E-3	-1.568462974E-1	1.568868209E-1
2.476446750E0	-2.477319092E-3	-5.040446073E-3	-1.580443919E-1	1.581441526E-1
2.486456750E0	-5.229859315E-3	-2.656316981E-3	-1.604399961E-1	1.605471887E-1
2.496496750E0	-7.069311133E-3	2.862933828E-3	-1.679261863E-1	1.680993028E-1
2.506536750E0	-1.895639906E-3	9.844564134E-3	-1.715204698E-1	1.718132138E-1
2.516577750E0	1.465029018E-3	-5.417710254E-3	-1.676279783E-1	1.677219038E-1
2.526617750E0	2.237537568E-3	-4.542637886E-3	-1.622380149E-1	1.623170220E-1
2.536627750E0	-2.901169136E-3	-8.036760371E-3	-1.507125682E-1	1.509545776E-1
2.546667750E0	-7.489205170E-3	-1.003938605E-2	-1.586472398E-1	1.591408941E-1
2.556707750E0	-5.823452203E-3	-3.738654871E-3	-1.721192247E-1	1.722582876E-1
2.566747750E0	-4.599840101E-4	-4.078378100E-3	-1.715222239E-1	1.715713206E-1
2.576788750E0	1.796054514E-3	-1.797050368E-3	-1.703258836E-1	1.703448321E-1
2.586798750E0	-1.530243745E-3	-6.665496938E-3	-1.674817979E-1	1.676213684E-1
2.596838750E0	-1.204975015E-2	-3.889503898E-3	-1.514668590E-1	1.519951778E-1
2.606878750E0	-6.864685994E-3	-1.067654070E-2	-1.529643309E-1	1.534900615E-1
2.616918750E0	2.567265714E-3	-3.733894872E-3	-1.547600108E-1	1.548263343E-1
2.626928750E0	-1.162785527E-2	-3.940018360E-4	-1.553570116E-1	1.557920515E-1
2.636968750E0	-5.798501037E-3	3.124057688E-3	-1.598459190E-1	1.599815620E-1
2.647009750E0	8.181478959E-3	3.118612468E-3	-1.607434666E-1	1.609817518E-1
2.657049750E0	6.049775993E-3	-3.205005080E-4	-1.692739695E-1	1.693823464E-1
2.667089750E0	8.827897785E-3	-8.177815313E-3	-1.658311290E-1	1.662671699E-1
2.677099750E0	5.842510471E-3	3.250814360E-3	-1.546073985E-1	1.547518995E-1
2.687139750E0	-2.013735389E-3	7.507404629E-3	-1.583507860E-1	1.585414383E-1
2.697180750E0	-8.823265694E-4	-5.171012571E-3	-1.649353355E-1	1.650187346E-1
2.707220750E0	3.341866471E-4	-2.481311643E-3	-1.611907786E-1	1.612102221E-1
2.717260750E0	-1.009484324E-2	-2.524096817E-3	-1.543045127E-1	1.546549695E-1
2.727270750E0	-4.933030894E-3	-2.556832088E-3	-1.578947031E-1	1.579924348E-1
2.737310750E0	-8.224967625E-3	-7.004215177E-3	-1.686717063E-1	1.690173176E-1
2.747350750E0	1.090871170E-4	-2.243165514E-3	-1.655288279E-1	1.655440623E-1
2.757391750E0	5.236738930E-3	-9.569059778E-4	-1.664275450E-1	1.665126626E-1
2.767431750E0	2.689618701E-3	-3.980099196E-3	-1.676256394E-1	1.676944550E-1
2.777441750E0	5.326877413E-3	1.413043616E-3	-1.590939671E-1	1.591893925E-1
2.787481750E0	-1.091401074E-3	7.085390976E-3	-1.589442784E-1	1.591058690E-1
2.797521750E0	2.629456334E-3	8.983598175E-3	-1.507119834E-1	1.510023875E-1
2.807562750E0	-5.255559655E-3	1.212771912E-2	-1.445741612E-1	1.451771007E-1
2.817602750E0	3.101646407E-3	4.059603056E-3	-1.472668040E-1	1.473553940E-1
2.827612750E0	-4.930545827E-3	3.724648962E-3	-1.599897605E-1	1.601090465E-1
2.837652750E0	3.119124100E-4	-6.658480279E-3	-1.541501462E-1	1.542942003E-1
2.847692750E0	1.264555402E-2	-8.444311302E-3	-1.502564853E-1	1.510239313E-1
2.857733750E0	5.119018033E-3	-5.201737862E-3	-1.647757065E-1	1.649372483E-1
2.867773750E0	4.299896210E-4	-6.362145217E-3	-1.704621238E-1	1.705813513E-1
2.877783750E0	-1.309776306E-3	-1.470766598E-3	-1.719590110E-1	1.719702885E-1
2.887823750E0	-2.262159828E-3	-1.366695296E-4	-1.662702549E-1	1.662856990E-1
2.897863750E0	-1.007301668E-2	-5.760749951E-3	-1.469604099E-1	1.474178211E-1
2.907903750E0	-1.145362652E-2	1.119256661E-2	-1.538472605E-1	1.546785010E-1
2.917913750E0	-4.599109199E-3	9.130025245E-3	-1.728577280E-1	1.731597624E-1
2.927954750E0	-2.316210028E-3	-3.773674211E-3	-1.658200192E-1	1.658791254E-1
2.937994750E0	-6.473150952E-3	2.110853987E-3	-1.613276035E-1	1.614712142E-1
2.948034750E0	-9.574048184E-3	3.719898099E-3	-1.590799338E-1	1.594111833E-1
2.958074750E0	2.229991006E-3	3.827368096E-4	-1.638682187E-1	1.638838382E-1
2.968062125E0	2.052071197E-3	3.295253199E-3	-1.563826132E-1	1.564307879E-1
2.978102125E0	3.676272389E-3	5.491248127E-3	-1.734477121E-1	1.735735510E-1
2.988143125E0	2.333623767E-3	-2.507806839E-3	-1.691073239E-1	1.691420169E-1
2.998183125E0	5.310724480E-3	1.582046421E-3	-1.595278305E-1	1.596240438E-1
3.008223125E0	2.724875584E-3	-6.200323524E-3	-1.637196994E-1	1.638597233E-1
3.018233125E0	6.165523455E-3	-8.209865363E-3	-1.565328866E-1	1.568692454E-1
3.028273125E0	-5.759726688E-3	-7.365116291E-3	-1.616211337E-1	1.618913532E-1
3.038314125E0	-2.621178869E-3	-7.117441026E-3	-1.628168893E-1	1.629934599E-1
3.048354125E0	5.153863784E-4	-5.196493641E-3	-1.694020236E-1	1.694824910E-1
3.058394125E0	4.675123002E-4	-2.722554971E-3	-1.699996090E-1	1.700220513E-1
3.068404125E0	1.797991404E-3	-8.405262865E-3	-1.620661068E-1	1.622938822E-1
3.078444125E0	-1.928969035E-3	-9.837730201E-3	-1.617661446E-1	1.620764863E-1
3.088484125E0	-6.914862413E-3	4.142048797E-3	-1.637120980E-1	1.639104113E-1
3.098525125E0	-1.235702134E-2	1.036514905E-2	-1.661071175E-1	1.668883063E-1
3.108565125E0	-6.334562805E-3	9.033381734E-3	-1.626648617E-1	1.630386025E-1
3.118575125E0	-9.049890982E-3	2.306087036E-3	-1.580256808E-1	1.583014035E-1
