"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.250168334E-1	-4.125073599E-4	-6.542974929E-3	-1.838423073E-1	1.839591657E-1
8.350568333E-1	5.356755315E-3	6.339706527E-4	-1.592921877E-1	1.593834929E-1
8.450968333E-1	-4.499341082E-4	2.355011785E-3	-1.667783779E-1	1.667956110E-1
8.551378333E-1	1.050427167E-3	-4.319205726E-3	-1.835446841E-1	1.835985021E-1
8.651778334E-1	-1.061477491E-3	8.420264628E-4	-1.747130495E-1	1.747183030E-1
8.751878333E-1	-9.164345660E-4	2.689568452E-3	-1.639354616E-1	1.639600842E-1
8.852278333E-1	-2.781504497E-3	-2.943346747E-3	-1.549541384E-1	1.550070484E-1
8.952678334E-1	-1.341109159E-3	-7.393767647E-3	-1.655808681E-1	1.657512904E-1
9.053088333E-1	-1.069460311E-3	-7.506586933E-3	-1.826465517E-1	1.828038715E-1
9.153488333E-1	1.887086069E-3	7.709097024E-4	-1.772583425E-1	1.772700634E-1
9.253588333E-1	5.504975379E-3	-6.791627775E-3	-1.818981081E-1	1.821080797E-1
9.353988334E-1	3.616665050E-3	-1.668745555E-2	-1.712702090E-1	1.721192491E-1
9.454388333E-1	3.014392701E-3	-1.768659395E-3	-1.783049941E-1	1.783392431E-1
9.554798333E-1	4.774674133E-3	-1.334795994E-3	-1.774074465E-1	1.774767063E-1
9.655198334E-1	1.075819158E-3	9.928983310E-4	-1.823465896E-1	1.823524663E-1
9.755598333E-1	6.575719337E-4	-2.853386421E-3	-1.772577578E-1	1.772819419E-1
9.855698333E-1	-9.240222420E-4	5.607479811E-3	-1.585484219E-1	1.586502434E-1
9.956098334E-1	-7.777185109E-4	3.033151757E-3	-1.729179543E-1	1.729463032E-1
1.005649833E0	1.158630350E-3	-2.054177108E-3	-1.907303274E-1	1.907449078E-1
1.015690833E0	7.341010231E-3	8.004664639E-3	-1.673800564E-1	1.677320731E-1
1.025730833E0	5.058572441E-4	7.960541002E-3	-1.592974502E-1	1.594970336E-1
1.035740833E0	-4.996642205E-3	-3.877489697E-3	-1.811514187E-1	1.812617937E-1
1.045780833E0	-5.619185662E-3	-4.215956689E-3	-1.729185390E-1	1.730611761E-1
1.055820833E0	3.087827791E-3	7.170559326E-4	-1.685775661E-1	1.686073683E-1
1.065861833E0	3.900255009E-3	-8.067001440E-3	-1.679776418E-1	1.682164577E-1
1.075901833E0	1.575447747E-3	-1.074727373E-3	-1.667801321E-1	1.667910355E-1
1.085911833E0	3.496041102E-4	2.836881741E-3	-1.687260854E-1	1.687502949E-1
1.095951833E0	5.643481300E-3	1.402281085E-4	-1.854900527E-1	1.855759365E-1
1.105991833E0	2.241402213E-3	-1.974061118E-3	-1.670771706E-1	1.671038651E-1
1.116031833E0	2.722068464E-3	-1.283399882E-3	-1.525573647E-1	1.525870450E-1
1.126072833E0	-4.895014856E-3	1.462850017E-3	-1.637840188E-1	1.638636808E-1
1.136112833E0	4.621561593E-4	8.183520916E-3	-1.745616066E-1	1.747539359E-1
1.146122833E0	4.249288102E-3	2.098734719E-3	-1.667783779E-1	1.668457026E-1
1.156162833E0	-4.321350467E-3	4.347025682E-3	-1.739634365E-1	1.740713875E-1
1.166202833E0	2.993868061E-3	-1.988779656E-3	-1.688734353E-1	1.689116800E-1
1.176243833E0	-1.127795423E-3	-1.003962359E-3	-1.679758877E-1	1.679826738E-1
1.186283833E0	-5.185806483E-3	-7.830746518E-4	-1.759093899E-1	1.759875542E-1
1.196293833E0	1.948056996E-3	-4.861790794E-3	-1.714193130E-1	1.714993084E-1
1.206333833E0	5.534412456E-4	2.923151013E-3	-1.660305190E-1	1.660571719E-1
1.216373833E0	9.943448317E-3	-1.675327783E-3	-1.691733974E-1	1.694736478E-1
1.226414833E0	2.912607752E-3	1.546657062E-3	-1.723162758E-1	1.723478295E-1
1.236454833E0	-2.943330759E-3	2.225591890E-3	-1.772554189E-1	1.772938239E-1
1.246494833E0	3.196647672E-3	6.195029053E-3	-1.709679079E-1	1.711099719E-1
1.256504833E0	4.302376709E-3	1.267976937E-2	-1.588437063E-1	1.594070576E-1
1.266544833E0	-4.021925060E-3	1.239822137E-2	-1.643827736E-1	1.648987206E-1
1.276584833E0	2.534889041E-3	8.559802948E-3	-1.717157668E-1	1.719476678E-1
1.286625833E0	7.685689889E-3	1.284075052E-2	-1.711164272E-1	1.717695734E-1
1.296665833E0	1.326796729E-2	3.068294437E-3	-1.646803969E-1	1.652425082E-1
