"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.187982917E-1	3.809956926E-3	-2.904348560E-3	-1.786774617E-1	1.787416749E-1
8.288382917E-1	-6.414940321E-3	-2.971134726E-3	-1.804748958E-1	1.806133083E-1
8.388792917E-1	1.039151291E-3	3.808912821E-4	-1.804754806E-1	1.804788741E-1
8.489192917E-1	5.317600669E-3	-3.580085691E-3	-1.804743111E-1	1.805881249E-1
8.589592917E-1	-2.609771088E-3	-7.252740115E-3	-1.831692928E-1	1.833314020E-1
8.689692917E-1	8.110718513E-3	-1.632533474E-3	-1.825717074E-1	1.827590689E-1
8.790092918E-1	5.655887790E-4	-5.319595803E-4	-1.833201510E-1	1.833217953E-1
8.890492917E-1	4.168421509E-3	8.307614364E-4	-1.756860262E-1	1.757374340E-1
8.990902917E-1	7.314003974E-3	3.247342575E-3	-1.798778951E-1	1.800558165E-1
9.091302917E-1	-2.490126435E-3	1.112980954E-4	-1.710462606E-1	1.710644217E-1
9.191702917E-1	-2.061089271E-3	-3.242427260E-3	-1.758357149E-1	1.758776850E-1
9.291802917E-1	-2.801731067E-3	-4.484695634E-3	-1.731407332E-1	1.732214643E-1
9.392202917E-1	-2.850662098E-3	-7.006901242E-3	-1.661059481E-1	1.662781072E-1
9.492612918E-1	-3.982741292E-3	2.233060794E-3	-1.662550521E-1	1.663177415E-1
9.593012917E-1	2.338058001E-3	3.176371995E-3	-1.683512789E-1	1.683974731E-1
9.693412917E-1	6.064218159E-3	5.918332413E-3	-1.670040804E-1	1.672189112E-1
9.793512917E-1	-2.330847196E-3	-5.376103660E-3	-1.693985152E-1	1.694998298E-1
9.893912917E-1	3.738135245E-5	-5.124353617E-4	-1.698481661E-1	1.698489432E-1
9.994312917E-1	9.260425578E-3	-5.690391501E-3	-1.810754049E-1	1.814013183E-1
1.009472292E0	3.812053415E-3	-4.497851869E-3	-1.713456380E-1	1.714470475E-1
1.019512292E0	-1.197791277E-4	-1.055988874E-2	-1.676040047E-1	1.679363808E-1
1.029552292E0	1.052804026E-3	-2.530802842E-3	-1.786809701E-1	1.787019933E-1
1.039562292E0	-7.966451600E-4	-6.357750669E-4	-1.737394881E-1	1.737424778E-1
1.049602292E0	1.851030618E-3	-5.164187774E-3	-1.732886678E-1	1.733754814E-1
1.059643292E0	-1.113463578E-2	3.341711154E-3	-1.686483175E-1	1.690485200E-1
1.069683292E0	1.232489420E-3	1.629728638E-4	-1.785271883E-1	1.785315170E-1
1.079723292E0	7.586916484E-3	-3.613835089E-3	-1.656551278E-1	1.658681478E-1
1.089764292E0	8.915599168E-3	1.784789488E-3	-1.634097970E-1	1.636625648E-1
1.099773292E0	3.754823221E-4	4.329223651E-4	-1.734401107E-1	1.734410574E-1
1.109814292E0	-1.705810678E-3	-6.442334298E-3	-1.686500716E-1	1.687816937E-1
1.119854292E0	-3.357161736E-3	-5.676367320E-3	-1.680501473E-1	1.681794984E-1
1.129894292E0	-1.807290419E-3	-6.989807272E-3	-1.806245846E-1	1.807688144E-1
1.139934292E0	3.397445854E-3	-2.403360950E-3	-1.619129097E-1	1.619663827E-1
1.149975292E0	-6.619424990E-4	3.077526642E-3	-1.664029866E-1	1.664327591E-1
1.159984292E0	6.780885800E-5	-9.652830279E-3	-1.692470723E-1	1.695221320E-1
1.170025292E0	2.363345210E-3	3.189135371E-3	-1.649060994E-1	1.649538651E-1
1.180065292E0	4.585381947E-5	-5.288404562E-3	-1.635589010E-1	1.636443809E-1
1.190105292E0	4.347171006E-3	-5.690720407E-3	-1.640085518E-1	1.641648174E-1
1.200146292E0	1.205736981E-3	2.206492508E-3	-1.670017415E-1	1.670206696E-1
1.210186292E0	3.189726945E-3	4.949969547E-3	-1.683483553E-1	1.684513143E-1
1.220196292E0	2.251121781E-3	-1.290855082E-3	-1.698446578E-1	1.698644802E-1
